brand,name,price,review,message,category,channel,size
N/A,Starmark RubberTuff Treat Ball,$14.66 ,N/A,no discount,toys,amazon,[]
N/A,Elk Antler Dog Chew - Irresistible for Larger Dogs and Aggressive chewers - Split Revealing The Tasty Marrow Inside - Fantastic Treat - Naturally Supporting Clean Teeth (Large),$29.99 ,N/A,no discount,toys,amazon,['L']
N/A,Red Dingo Wendy The Wombat Durables,$19.99 ,N/A,no discount,toys,amazon,[]
N/A,"Deer Valley Chews Premium Deer Antler for Puppies (Tiny 4-6 Inches, 6 Pack) Dog Bones for Small Mouths - Dog Treat for Teething and Chewing - Premium Grade, Naturally Shed",$22.99 ,N/A,no discount,toys,amazon,['S']
N/A,Ruff & Whiskerz Natural Stick Tugz Dog Toy,$16.47 ,N/A,no discount,toys,amazon,[]
N/A,"KONG Stuff'N All-Natural Peanut Butter Dog Toys, 6.3 OZ, Multi-Color",$10.99 ,N/A,no discount,toys,amazon,[]
N/A,"Dog Squeaky Toys, No Stuffing Plush Chew Toy for Small Medium Dogs Puppy Aggressive Chewers Large Breed, 5 Pack Cute Animal Raccoon Squirrel Tiger Fox and Lion, Tough Durable Teething Interactive Gift",$18.68 ,N/A,Limited time deal,toys,amazon,"['S', 'M', 'L']"
N/A,"Bullibone Nylon Dog Chew Toy Nylon Bone - Improves Dental Hygiene, Easy to Grip Bottom, and Permeated with Flavor",$13.99 ,N/A,no discount,toys,amazon,[]
N/A,"All for Paws Pet Squirrel Rabbit Plush Toys, Dog Puppy Squeaky Toy, Large",$16.99 ,N/A,no discount,toys,amazon,['L']
N/A,"Bully Stick Holder - Small Size - Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",$15.95 ,N/A,no discount,toys,amazon,['S']
N/A,"All for Paws Interactive Dog Chew Toys,Dog Treat Hider Toys,Plush Dog Toy,Rubber Dog Toy,Dog Toys for Aggressive Chewers",$5.99 ,N/A,no discount,toys,amazon,[]
N/A,"Pet Qwerks REAL WOOD Antler, Smoked Cheese Flavor - Durable Dog Chew Toy Bone for MODERATE Chewers | Made in USA, NO Shards or Sharp Points",$3.99 ,N/A,no discount,toys,amazon,[]
N/A,Deer Valley Chews Premium Deer Antler for Dogs - XL 6-8 Inches (The Safer Antler Chew) Long Lasting Dog Bone for Large Dogs and Aggressive Chewers,$21.99 ,N/A,no discount,toys,amazon,['L']
N/A,"Nylabone Big Power Chews, Big Dog Chew Toys for XXL-Large Dogs",$16.99 ,N/A,no discount,toys,amazon,['L']
N/A,"KONG - Stuff'n Paste - Dog Treat with Real Ingredients, Great for Stuffing KONG Rubber Toys - 5 Ounce",-1,N/A,no discount,toys,amazon,[]
N/A,Doggijuana | Refillable Catnip Dog Toys | Promotes Play and Helps Your Dog Chill | Includes Organic Catnip,$16.99 ,N/A,no discount,toys,amazon,[]
N/A,"WhiteTail Naturals Premium Elk Antlers for Dogs (1 Pound Pack -Split or Whole) All Natural Dog Chews | Long Lasting, Medium and Large Deer Antler Bone Chew",$41.99 ,N/A,no discount,toys,amazon,"['M', 'L']"
